Arestas da Arborescência Mínima:
382 - 178 (179)
107 - 179 (180)
160 - 180 (181)
433 - 181 (182)
238 - 182 (183)
253 - 183 (184)
239 - 184 (185)
407 - 185 (186)
107 - 186 (187)
8 - 187 (188)
215 - 188 (189)
302 - 189 (190)
167 - 190 (191)
253 - 191 (192)
245 - 192 (193)
311 - 193 (194)
464 - 194 (195)
118 - 195 (196)
225 - 196 (197)
456 - 197 (198)
301 - 198 (199)
345 - 199 (200)
113 - 200 (201)
436 - 201 (202)
176 - 202 (203)
379 - 203 (204)
320 - 204 (205)
158 - 205 (206)
433 - 206 (207)
239 - 207 (208)
178 - 208 (209)
463 - 209 (210)
250 - 210 (211)
113 - 211 (212)
315 - 212 (213)
288 - 213 (214)
173 - 214 (215)
183 - 215 (216)
72 - 216 (217)
215 - 217 (218)
61 - 218 (219)
107 - 219 (220)
33 - 220 (221)
94 - 221 (222)
107 - 222 (223)
340 - 223 (224)
453 - 224 (225)
488 - 225 (226)
189 - 226 (227)
207 - 227 (228)
407 - 228 (229)
225 - 229 (230)
59 - 230 (231)
239 - 231 (232)
292 - 232 (233)
373 - 233 (234)
400 - 234 (235)
424 - 235 (236)
180 - 236 (237)
215 - 237 (238)
236 - 238 (239)
138 - 239 (240)
117 - 240 (241)
245 - 241 (242)
302 - 242 (243)
103 - 243 (244)
458 - 244 (245)
424 - 245 (246)
300 - 246 (247)
169 - 247 (248)
232 - 248 (249)
298 - 249 (250)
125 - 250 (251)
477 - 251 (252)
80 - 252 (253)
239 - 253 (254)
208 - 254 (255)
267 - 255 (256)
215 - 256 (257)
292 - 257 (258)
329 - 258 (259)
488 - 259 (260)
160 - 260 (261)
118 - 261 (262)
381 - 262 (263)
110 - 263 (264)
255 - 264 (265)
48 - 265 (266)
220 - 266 (267)
160 - 267 (268)
99 - 268 (269)
232 - 269 (270)
424 - 270 (271)
160 - 271 (272)
78 - 272 (273)
72 - 273 (274)
255 - 274 (275)
160 - 275 (276)
0 - 276 (277)
270 - 277 (278)
463 - 278 (279)
386 - 279 (280)
324 - 280 (281)
365 - 281 (282)
92 - 282 (283)
78 - 283 (284)
118 - 284 (285)
333 - 285 (286)
316 - 286 (287)
232 - 287 (288)
270 - 288 (289)
365 - 289 (290)
368 - 290 (291)
324 - 291 (292)
345 - 292 (293)
28 - 293 (294)
180 - 294 (295)
244 - 295 (296)
167 - 296 (297)
158 - 297 (298)
433 - 298 (299)
7 - 299 (300)
158 - 300 (301)
332 - 301 (302)
400 - 302 (303)
331 - 303 (304)
245 - 304 (305)
189 - 305 (306)
48 - 306 (307)
245 - 307 (308)
220 - 308 (309)
373 - 309 (310)
382 - 310 (311)
100 - 311 (312)
400 - 312 (313)
292 - 313 (314)
315 - 314 (315)
379 - 315 (316)
207 - 316 (317)
234 - 317 (318)
331 - 318 (319)
189 - 319 (320)
72 - 320 (321)
230 - 321 (322)
301 - 322 (323)
107 - 323 (324)
463 - 324 (325)
80 - 325 (326)
312 - 326 (327)
160 - 327 (328)
459 - 328 (329)
107 - 329 (330)
169 - 330 (331)
362 - 331 (332)
331 - 332 (333)
374 - 333 (334)
160 - 334 (335)
382 - 335 (336)
289 - 336 (337)
285 - 337 (338)
239 - 338 (339)
322 - 339 (340)
454 - 340 (341)
158 - 341 (342)
23 - 342 (343)
260 - 343 (344)
352 - 344 (345)
260 - 345 (346)
298 - 346 (347)
160 - 347 (348)
376 - 348 (349)
368 - 349 (350)
469 - 350 (351)
183 - 351 (352)
460 - 352 (353)
230 - 353 (354)
332 - 354 (355)
8 - 355 (356)
271 - 356 (357)
31 - 357 (358)
379 - 358 (359)
48 - 359 (360)
299 - 360 (361)
301 - 361 (362)
47 - 362 (363)
255 - 363 (364)
352 - 364 (365)
339 - 365 (366)
312 - 366 (367)
407 - 367 (368)
183 - 368 (369)
72 - 369 (370)
352 - 370 (371)
459 - 371 (372)
107 - 372 (373)
319 - 373 (374)
189 - 374 (375)
94 - 375 (376)
456 - 376 (377)
207 - 377 (378)
232 - 378 (379)
68 - 379 (380)
253 - 380 (381)
222 - 381 (382)
28 - 382 (383)
245 - 383 (384)
58 - 384 (385)
255 - 385 (386)
189 - 386 (387)
234 - 387 (388)
207 - 388 (389)
332 - 389 (390)
304 - 390 (391)
114 - 391 (392)
158 - 392 (393)
433 - 393 (394)
382 - 394 (395)
298 - 395 (396)
31 - 396 (397)
24 - 397 (398)
203 - 398 (399)
232 - 399 (400)
92 - 400 (401)
463 - 401 (402)
434 - 402 (403)
215 - 403 (404)
279 - 404 (405)
160 - 405 (406)
312 - 406 (407)
285 - 407 (408)
232 - 408 (409)
456 - 409 (410)
129 - 410 (411)
72 - 411 (412)
167 - 412 (413)
217 - 413 (414)
122 - 414 (415)
189 - 415 (416)
0 - 416 (417)
125 - 417 (418)
281 - 418 (419)
152 - 419 (420)
238 - 420 (421)
253 - 421 (422)
300 - 422 (423)
344 - 423 (424)
26 - 424 (425)
270 - 425 (426)
312 - 426 (427)
442 - 427 (428)
139 - 428 (429)
329 - 429 (430)
295 - 430 (431)
16 - 431 (432)
16 - 432 (433)
245 - 433 (434)
122 - 434 (435)
238 - 435 (436)
270 - 436 (437)
345 - 437 (438)
137 - 438 (439)
463 - 439 (440)
239 - 440 (441)
35 - 441 (442)
456 - 442 (443)
209 - 443 (444)
365 - 444 (445)
80 - 445 (446)
47 - 446 (447)
271 - 447 (448)
476 - 448 (449)
80 - 449 (450)
286 - 450 (451)
135 - 451 (452)
454 - 452 (453)
158 - 453 (454)
239 - 454 (455)
379 - 455 (456)
209 - 456 (457)
316 - 457 (458)
393 - 458 (459)
440 - 459 (460)
331 - 460 (461)
300 - 461 (462)
267 - 462 (463)
116 - 463 (464)
373 - 464 (465)
301 - 465 (466)
110 - 466 (467)
215 - 467 (468)
47 - 468 (469)
7 - 469 (470)
225 - 470 (471)
424 - 471 (472)
113 - 472 (473)
116 - 473 (474)
183 - 474 (475)
231 - 475 (476)
158 - 476 (477)
245 - 477 (478)
298 - 478 (479)
332 - 479 (480)
125 - 480 (481)
118 - 481 (482)
58 - 482 (483)
225 - 483 (484)
376 - 484 (485)
407 - 485 (486)
315 - 486 (487)
8 - 487 (488)
125 - 488 (489)
473 - 489 (490)
478 - 490 (491)
373 - 491 (492)
470 - 492 (493)
244 - 493 (494)
135 - 494 (495)
68 - 495 (496)
484 - 496 (497)
125 - 497 (498)
117 - 498 (499)
68 - 499 (500)
